Significant_Overexpressed	Accession Number +	Significant_Underexpressed	Accession Number -
		Unknown	VTP50773.1
		hypothetical protein MIT1002_00884 [Alteromonas macleodii]	VTP50861.1
		Unknown	VTP50995.1
		Unknown	VTP51008.1
		Unknown	VTP51025.1
		Serine acetyltransferase [Alteromonas macleodii]	VTP51026.1
		Unknown	VTP51050.1
		Unknown	VTP51064.1
		Unknown	VTP51086.1
		Unknown	VTP51101.1
		Unknown	VTP51242.1
		Unknown	VTP51312.1
		Unknown	VTP51342.1
		Unknown	VTP51486.1
		Unknown	VTP51488.1
		Unknown	VTP51662.1
		Unknown	VTP52150.1
		Unknown	VTP52184.1
		Outer membrane receptor proteins [Alteromonas macleodii]	VTP52236.1
		Unknown	VTP52272.1
		Unknown	VTP52368.1
		Unknown	VTP52564.1
		Unknown	VTP52584.1
		6-phosphofructokinase [Alteromonas macleodii]	VTP52592.1
		Unknown	VTP52792.1
		3-dioxygenase [Alteromonas macleodii]	VTP52796.1
		2-oxopent-4-enoate/cis-2-oxohex-4-enoate hydratase [Alteromonas macleodii]	VTP52802.1
		Unknown	VTP52848.1
		Putative Zn-dependent protease [Alteromonas macleodii]	VTP53018.1
		dGTPase [Alteromonas macleodii]	VTP53209.1
		Unknown	VTP53225.1
		Unknown	VTP53233.1
		Unknown	VTP53245.1
		Unknown	VTP53251.1
		Unknown	VTP53283.1
		Unknown	VTP53315.1
		Unknown	VTP53477.1
		N-acetylneuraminic acid mutarotase [Alteromonas macleodii]	VTP53651.1
		Unknown	VTP53705.1
		Unknown	VTP53715.1
		Unknown	VTP53893.1
		Unknown	VTP53919.1
		Unknown	VTP53933.1
		Unknown	VTP54149.1
		Unknown	VTP54406.1
		protease I [Alteromonas macleodii]	VTP54420.1
		Unknown	VTP54547.1
		Unknown	VTP54865.1
		Fis family [Alteromonas macleodii]	VTP54893.1
		Unknown	VTP55014.1
		Putative intracellular protease/amidase [Alteromonas macleodii]	VTP55493.1
		serine protease AprX [Alteromonas macleodii]	VTP55548.1
		Unknown	VTP55762.1
		Unknown	VTP56004.1
		Unknown	VTP56294.1
		Unknown	VTP50125.1-DECOY
		Unknown	VTP50354.1-DECOY
		hypothetical protein MIT1002_00599 [Alteromonas macleodii]	VTP50578.1
		Unknown	VTP50595.1
		hypothetical protein MIT1002_00771 [Alteromonas macleodii]	VTP50749.1-DECOY
		Unknown	VTP50828.1
		Unknown	VTP51176.1
		Unknown	VTP51197.1-DECOY
		Unknown	VTP51424.1
		Unknown	VTP52294.1
		Unknown	VTP52824.1
		Cu/Ag efflux pump CusA [Alteromonas macleodii]	VTP53197.1-DECOY
		Unknown	VTP53373.1-DECOY
		Unknown	VTP53411.1-DECOY
		Unknown	VTP53598.1
		Unknown	VTP54100.1-DECOY
		Outer membrane receptor proteins [Alteromonas macleodii]	VTP54923.1
		Unknown	VTP55863.1
		Unknown	VTP56032.1
